Kategori,Pesan
spam,BONUS DEPOSIT 50% KHUSUS HARI INI! Jangan lewatkan kesempatan emas ini! Mainkan Slot Favoritmu! >> slot-bonus-50.live
nonspam,Bagaimana hasil ujianmu kemarin?
nonspam,Bagaimana perkembangan proyek A? Apakah ada kendala?
nonspam,"Baik, Bu. Akan saya kerjakan segera."
nonspam,"Baik, sudah saya setujui. Terima kasih."
spam,Belajar Hipnotis Mudah & Cepat! Kuasai Pikiran Orang Lain! Ikuti Pelatihannya! >> masterhipnotis.org
spam,Belajar Trading Forex dari NOL! Hasilkan Profit Konsisten! Daftar Kelas GRATIS! >> master-forex-id.com/freeclass
nonspam,Besok jadi kan kita ketemu jam 10 pagi di kafe biasa?
nonspam,Besok pagi ada jadwal jogging bareng?
nonspam,Bisa kirimkan share locationnya?
nonspam,Bisa minta tolong cek data absensi saya?
nonspam,Bisa minta tolong print dokumen ini 3 rangkap?
nonspam,Bisa pinjam charger sebentar? Bateraiku habis.
nonspam,Bisa tolong antarkan saya ke stasiun?
nonspam,Bisa tolong fotokopikan dokumen ini?
nonspam,Buku yang saya pinjam kemarin sudah selesai dibaca?
spam,Butuh Dana Cepat? PINJAMAN ONLINE LANGSUNG CAIR TANPA RIBET! Cukup KTP! Klik >> bit.ly/PinjolKilatCair
spam,Butuh Modal Usaha? KUR Bunga Rendah! Ajukan Sekarang! Info: bnk-amanah.co/kur-promo
spam,Butuh Pinjaman 10 Juta? 10 MENIT CAIR! Syarat KTP Saja! WA SEKARANG! 0819-1234-5678
spam,Butuh Pinjaman Dana Tunai Jaminan BPKB? Proses Cepat 1 Hari Cair! Bunga Ringan! Hub: 0899-1234-5678
spam,Butuh Pinjaman Uang Cepat Tanpa BI Checking? Kami Solusinya! 5 Menit Langsung Cair! >> s.id/PinjolTanpaCekBI
spam,Butuh Uang Tambahan? Jadi Reseller Kami! Komisi Tinggi! Tanpa Modal! Hubungi: 0856-9988-7766
spam,"Butuh Website Murah? Toko Online, Company Profile, dll. Kualitas Terjamin! Hubungi: 0857-1111-2222"
spam,Casino Online Live! Rasakan sensasi bermain di Las Vegas! Dealer Cantik! Daftar & Main! >> live-casino-asia.com
spam,Cek Kesehatan GRATIS! Khusus Lansia di Klinik Sehat Bersama! Datang & Periksakan Diri Anda! Jl. Palsu No. 123
nonspam,"Cepat sembuh ya, semoga lekas beraktivitas lagi."
spam,DAPATKAN CUAN SETIAP HARI DGN MODAL KECIL! Slot Pragmatic Hoki Terus! >> hoki-slot88.live
spam,DISKON 50% Semua Makanan di Resto Enak! Hanya dengan Menunjukkan Pesan Ini! Buruan!
spam,DISKON GILA 90% Semua produk fashion HANYA HARI INI! Jangan sampai kehabisan! Beli di >> toko-murah-banget.co/sale
spam,Dapatkan KARTU KREDIT GRATIS IURAN SEUMUR HIDUP! Apply Online Sekarang! >> kartu-kredit-gratis.net
spam,Dapatkan Saldo OVO Gratis 200rb! Cukup Instal Aplikasi Ini & Masukkan Kode [KODE_PALSU]! >> s.id/OvoGratisReal
nonspam,Di daerahmu ada pemadaman listrik juga?
nonspam,"Di sini sinyalnya jelek banget, teleponnya putus-putus."
spam,Diskon Tiket Pesawat & Kereta! Liburan Jadi Hemat! Pesan Sekarang di travel-hemat-banget.com!
nonspam,"Dokumennya sudah saya email, tolong diperiksa."
nonspam,File yang kemarin kamu kirim kok tidak bisa dibuka ya?
nonspam,"Filmnya bagus banget, kamu harus nonton!"
spam,"Flash Sale Elektronik! TV, Kulkas, HP Diskon s/d 70%! Stok Terbatas! Serbu Sekarang! >> gudang-elektronik.biz/flashsale"
spam,GAK PERLU KERJA! Main Slot di [NAMA_SITUS] Aja! Dijamin Gacor Maxwin Setiap Hari! >> slot-pasti-maxwin.org
nonspam,Gimana cuaca di sana? Di sini mendung banget.
nonspam,Gimana kabarnya Budi? Lama tidak ketemu.
nonspam,"Halo, apa kabar?"
nonspam,"Hati-hati di jalan ya, semoga selamat sampai tujuan."
spam,"Hp Baru Harga Murah? Cicilan 0%! iPhone, Samsung, Xiaomi! Dapatkan di >> gadget-murah-ori.shop"
nonspam,"Hujan deras banget di sini, kamu di mana?"
spam,"Ingin Jadi Selebgram? Beli Followers & Likes Murah! Proses Cepat, Aman, Permanen! >> panel-sosmed-murah.net"
spam,Ingin Perkasa di Ranjang? Gunakan Produk AJAIB ini! Hasil Permanen! Pesan via WA: 0877-5566-7788
spam,Ingin Sukses Bisnis Online? Ikuti Webinar GRATIS ini! Dibimbing Mentor Profesional! Daftar: webinar-gratis-umkm.site
spam,Ingin Website Toko Online Keren? Harga Mulai 500rb! Gratis Domain & Hosting! >> jasaweb-profesional.id
spam,Ingin wajah Glowing Bebas Jerawat? Coba Serum VIRAL ini! Diskon 50% + GRATIS ONGKIR! >> skincare-viral.shop/serum
spam,Investasi Emas Digital! Profit Pasti 5% per Hari! Tanpa Risiko! Bergabung Sekarang! >> invest-emas-aman.biz
spam,Isi Survei Singkat & Dapatkan Voucher GoPay 100rb! Dijamin Dapat! >> survei-berhadiah-gopay.link
spam,JANGAN KETINGGALAN PROMO Kopi Nikmat HANYA 10RB! Pake kode NIKMAT10 di aplikasi! Sikat!
nonspam,Jadwal kereta paling pagi jam berapa ya?
nonspam,Jadwal meeting diundur jadi jam 2 siang ya.
nonspam,"Jangan lupa bawa jas hujan, sepertinya sore ini hujan."
nonspam,"Jangan lupa bawa payung, sepertinya mau hujan."
nonspam,Jangan lupa beli titipan Ibu ya nanti pas pulang kerja.
nonspam,"Jangan lupa minum obat ya, biar cepat sembuh."
spam,Jasa Menaikkan Limit Kartu Kredit Anda! Proses Cepat & Aman! 100% Berhasil! Hubungi: 0877-0011-2233
spam,Jasa Pelet & Pemikat Lawan Jenis! 100% Berhasil! Bikin Dia Tergila-gila! Konsultasi dgn Ki Joko Gila: 0899-6543-8765
spam,Jasa Penglaris Dagangan & Jodoh! Pasti Berhasil! Mahar Terjangkau! Konsultasi GRATIS: 0888-0011-0022
spam,Jual Akun Netflix/Spotify Premium Murah! Legal & Bergaransi! Minat? DM/WA: 0811-9876-0000
spam,Jual Tanah Murah Strategis! Cocok untuk Investasi! Harga Nego! Hubungi Pemilik Langsung: 0822-7788-9900
spam,Judi Bola Parlay! Menang Ratusan Juta! Pasang Tim Andalannmu! >> parlay-terpercaya.com
spam,KHUSUS HARI INI! Beli Pulsa 50rb Dapat 100rb! Hanya di [Aplikasi Palsu]! Download skrg! >> pulsa-gratis.apk
spam,KURIR MENGANTAR PAKET ANDA! Mohon konfirmasi alamat & lihat foto paket di: cek-resi-paket-anda.com/paket.apk
spam,KURSI PIJAT CANGGIH! Diskon 60%! Bikin Rileks Badan & Pikiran! Pesan: 0858-1122-3344
spam,Kabar BURUK! Foto & Video Pribadi Anda Bocor! Lihat & Hapus Segera di: data-pribadi-bocor.xyz
spam,Kabar Gembira! Dapatkan Saldo DANA Kaget GRATIS! Klaim Sekarang Sebelum Habis! >> link.dana.id-kaget.xyz/klaim
nonspam,"Kalau ada info lowongan, kabari aku ya."
nonspam,"Kalau ada waktu luang, main ke rumah dong."
nonspam,"Kalau butuh bantuan, jangan sungkan bilang ya."
nonspam,"Kalau mau ke bandara, enaknya lewat tol atau jalan biasa ya?"
nonspam,Kapan rencananya kita mau liburan bareng lagi?
nonspam,Kira-kira barangnya sampai kapan ya kalau dikirim hari ini?
nonspam,Kira-kira butuh waktu berapa lama lagi ya?
spam,Klaim Bantuan Sosial (Bansos) Anda Sebesar 600rb! Klik Link Ini Sebelum Hangus: info-bansos-pemerintah.org
nonspam,Kucingmu lucu banget sih!
nonspam,Lagi di mana? Aku udah di depan rumahmu nih.
nonspam,Lagu yang diputar tadi judulnya apa ya? Enak didengar.
spam,Listrik RUMAH Anda akan DIPADAMKAN! Bayar tunggakan SEGERA melalui link berikut: portal-pembayaran-pln.com
nonspam,Listrik di rumahmu mati juga nggak?
spam,Lowongan Admin Sosmed! Gaji UMR! Bisa Kerja Sambil Rebahan! Syarat Mudah! Kirim CV ke: hr@kerjarebahan.com
spam,Lowongan Kerja Admin Online! Gaji 5-7 Juta/Bulan! Kerja dari Rumah! Tanpa Pengalaman! Daftar: loker-wfh-id.com/daftar
spam,MAINKAN SLOT GATES OF GATOT KACA! Kakek Petir Indonesia Siap Kasih JP! >> slot-gatotkaca-gacor.live
spam,MAU MAXWIN? Main di MaxWinGampang! RTP Tertinggi! Jaminan Withdraw Cepat! DAFTAR >> s.id/MaxWinPasti
spam,MENANGKAN IPHONE 15 PRO MAX! Cukup isi survei singkat ini! Kesempatan Terbatas! Klik: survei-berhadiah-iphone.xyz
spam,MENANGKAN MOBIL HONDA BRIO! Cukup Jawab Pertanyaan Mudah Ini! >> undian-mobil-gratis.xyz
nonspam,"Maaf, nomor yang Anda tuju sedang tidak aktif."
nonspam,"Maaf, saya sepertinya akan sedikit terlambat hari ini."
spam,Main Game Dapat Cuan? Cuma di Aplikasi Ini! Download & Dapatkan Bonus Pengguna Baru! >> app-cuan.live/download
spam,Mainkan Gates of Olympus & Starlight Princess! Pola Gacor Jamin JP! Daftar di >> link-gacor-olympus.com
spam,Mainkan Ratusan Game Slot Online Hanya dengan 1 ID! Proses Cepat & Mudah! GABUNG >> pusat-slot-indonesia.net
spam,Mau Jadi Jutawan? Investasi Kripto Aja! Potensi Cuan Ratusan Persen! Mulai Sekarang! >> belajar-kripto-cepat.org
spam,Mau Tau Siapa yang Sering Intip Profil WA Kamu? Cek Pakai Aplikasi Ini! >> cek-profil-wa.apk
nonspam,"Mohon ditunggu, sedang kami proses pesanannya."
nonspam,"Mohon info, untuk perpanjang SIM sekarang di mana ya?"
nonspam,Mohon maaf lahir dan batin ya.
nonspam,Nanti jadi kan kita nonton di bioskop?
nonspam,"Nanti kalau sudah sampai rumah, kabari ya."
nonspam,Nanti malam ada rencana apa? Nonton film yuk?
spam,Nonton Film Box Office HD GRATIS! Tanpa Iklan! Cukup daftar dgn no HP Anda! >> streaming-gratisan.tv/daftar
spam,Obat Kuat Herbal Pria Perkasa! Tahan Lama Beronde-ronde! Aman Tanpa Efek Samping! WA: 0838-7654-3210
nonspam,"Oke, deal. Saya ambil barangnya."
nonspam,"Oke, sampai jumpa di sana!"
nonspam,"Oke, saya sudah di lokasi. Kamu di sebelah mana?"
nonspam,"Oke, saya tunggu konfirmasinya segera."
nonspam,"Oke, siap. Nanti saya sampaikan ke tim."
spam,PENGUMUMAN PENTING BANK BCI! Ada perubahan tarif! Mohon konfirmasi data Anda di: bci-update-nasabah.net
spam,PERHATIAN! Anda Belum Mengambil Subsidi Listrik! Ambil SEGERA di: klaim-subsidi-negara.info/pln
spam,"PERHATIAN! Nomor Anda akan segera diblokir! Untuk mencegah, balas SMS ini dgn ketik YA."
spam,PERINGATAN! Komputer Anda terinfeksi VIRUS BERBAHAYA! Hubungi Bantuan Teknis SEGERA di 021-500-FAKE!
spam,PINJAMAN DANA CEPAT CAIR HITUNGAN MENIT !!! HUB SGR 0878-5555-4444
spam,POKER ONLINE TERBESAR SE-ASIA! Bonus New Member 200%! Menang Berapapun PASTI DIBAYAR! >> raja-poker-88.net
spam,PROMO MAKANAN JEPANG! Beli Ramen GRATIS Ocha! Berlaku Dine-in & Takeaway! Kunjungi kami! Cek IG @RestoJepangPalsu
spam,PROMO PIZZA MANTAP! Beli 1 GRATIS 1 Ukuran Regular! Pesan via Aplikasi/Web! Cepat! >> pizzamantap.co.id/promo
spam,Paket Internet MURAH MERIAH! Kuota 50GB HANYA 50rb! Aktifkan SEKARANG! *123*# atau klik myprovider.net/promo50
nonspam,Paket saya sudah sampai mana ya? Bisa tolong dicek resinya?
spam,Pasang Iklan Bisnis Anda di Sini! Murah & Efektif! Jangkau Ribuan Pelanggan! >> pasang-iklan-online.biz
spam,Perbesar Peluang Menang Slot! Gunakan Pola Gacor Ini! Terbukti Ampuh! Baca Selengkapnya: trik-slot-ampuh.blogspot.com
nonspam,Pertandingannya seru banget tadi malam!
spam,Pinjaman Syariah Tanpa Riba! Plafon Hingga 100 Juta! Angsuran Ringan! Ajukan Online: pinjol-syariah-berkah.net
nonspam,"Presentasi untuk klien besok sudah siap, Mas?"
spam,Promo SPESIAL NASI GORENG! Beli 1 Gratis 1! Hanya berlaku di GrabFood & GoFood! Pesan Cepat! >> gofood.link/NasiGorengB1G1
spam,"Promo Tiket Pesawat MURAH GILA! Bali, Lombok, S'pore HANYA 300rb! Pesan Cepat! >> tiket-super-murah.travel"
spam,RAHASIA LANGSING TANPA OLAHRAGA! Turun 10kg dalam 1 Minggu! TERBUKTI! Info & Order: 0812-1122-3344
spam,RAHASIA MENANG TOGEL SGP/HK! Angka Jitu 4D Pasti Tembus! Hubungi Mbah Dukun Digital: 0888-4455-6677
nonspam,Rapatnya sudah selesai? Boleh saya masuk?
nonspam,"Revisi laporannya sudah saya kirim ke email ya, Pak."
spam,SABUNG AYAM LIVE STREAMING! Tonton & Pasang Taruhan Favoritmu! Menang Jutaan! >> ayam-jago-online.live
spam,SELAMAT KAK! Kaka menang undian 100jt! Utk klaim hubungi WA 0896-1122-9988 skrg juga!!!
spam,SELAMAT! Anda berhak mendapatkan Voucher Listrik Gratis 100rb! Ambil di >> voucher-listrik-gratis.info
spam,SELAMAT! Anda mendapatkan CASHBACK 1 Juta dari Pembelian Terakhir Anda! Ambil di sini: bit.ly/Cashback1JutaAnda
spam,SELAMAT! Nomor Anda terpilih sebagai Pemenang Undian Rp 50.000.000! Klaim Hadiah Anda SEGERA: info-hadiah.xyz/klaim
spam,SITUS JUDI BOLA TERPERCAYA! Pasang taruhan & menangkan hadiah besar! Bonus member baru 100%! >> agenbola-resmi.net
spam,SLOT GACOR HARI INI! MENANGKAN JUTAAN RUPIAH DENGAN MODAL KECIL! DAFTAR SEKARANG >> s.id/GacorMenangMax
nonspam,Sampai ketemu minggu depan!
nonspam,"Saya kurang paham bagian ini, bisa dijelaskan ulang?"
nonspam,Saya kurang setuju kalau meetingnya terlalu pagi.
nonspam,Saya mau konfirmasi pesanan atas nama Budi.
nonspam,"Saya pesan Nasi Goreng Seafood 1, minumnya Es Teh Manis."
nonspam,Saya setuju dengan pendapat Anda mengenai proyek ini.
nonspam,"Saya sudah baca artikelnya, menarik sekali."
nonspam,"Saya sudah di jalan, mungkin 15 menit lagi sampai."
nonspam,"Saya sudah transfer pembayarannya, mohon dicek."
nonspam,Selamat menempuh hidup baru ya!
nonspam,"Selamat pagi, mohon info untuk ketersediaan kamar."
nonspam,"Selamat sore, apakah ini dengan Bapak Andi?"
nonspam,Selamat ulang tahun ya! Semoga panjang umur dan sehat selalu.
spam,Sembuhkan DIABETES & ASAM URAT dalam 3 Hari! Ramuan Herbal Alami Warisan Nenek Moyang! >> herbal-mujarab-99.store
spam,Situs Slot Server LUAR NEGERI! Lebih Gacor & Anti Rungkad! Coba Sekarang! >> slot-server-thailand.vip
spam,Solusi Lunas Hutang Pinjol! Konsultasi GRATIS dgn Ahli Keuangan Kami! >> solusi-lunas-pinjol.org
nonspam,Sudah lama ya kita tidak kumpul-kumpul lagi.
nonspam,Sudah makan siang belum? Mau bareng?
spam,TURUN BB 15KG DLM 2 MINGGU! Tanpa Diet Ketat! Coba Teh Pelangsing Ajaib Ini! WA: 0813-9876-5432
spam,Tagihan Listrik Anda Belum Dibayar! Bayar SEKARANG untuk menghindari pemadaman! Bayar di: info-pln-resmi.co/bayar
spam,Temukan Jodoh Cantik & Tampan Dekat Sini! Chat Gratis Sepuasnya! Pasang Aplikasinya! >> kencan-online-seru.live
nonspam,"Terima kasih atas informasinya, sangat membantu."
nonspam,Terima kasih atas traktirannya kemarin!
nonspam,Terima kasih banyak atas bantuannya kemarin!
nonspam,"Terima kasih undangannya, tapi sepertinya saya tidak bisa hadir."
spam,Tinggal 1 Hari Lagi! Diskon Terbesar Sepanjang Masa! Jangan Nyesel Kalo Kehabisan! >> s.id/DiskonBesarAkhirTahun
spam,Tingkatkan Followers Instagram & TikTok! Jasa Murah & Cepat! Terpercaya! Order di: 0821-4433-2211
spam,Togel Online Aman & Terpercaya! Pasang Angka Keberuntunganmu & Raih Kemenangan Fantastis! >> bandartogel-hk.org
nonspam,Tolong belikan air galon sekalian ya kalau lewat.
nonspam,"Tolong kirimkan laporan penjualan bulan ini ya, terima kasih."
nonspam,Tugas kelompok kita dikumpulkan kapan ya?
nonspam,Turut berduka cita ya atas meninggalnya Nenekmu.
spam,Undangan Pernikahan Digital? HATI-HATI! Bisa jadi APK Jahat! Klik di sini utk info: bit.ly/WaspadaAPK
nonspam,Undangan rapatnya sudah saya terima.
nonspam,Untuk pembayaran DP rumahnya bagaimana ya prosedurnya?
spam,VOUCHER BELANJA GRATIS Rp 500.000! Khusus untuk 100 orang pertama! Ambil vouchermu: bit.ly/VoucherGratis500Rb
spam,Vaksin Booster GRATIS! Lindungi Diri & Keluarga! Daftar di Lokasi Terdekat Anda: pedulilindungi-palsu.id
nonspam,"Wah, selamat ya atas kelahiran putranya!"
nonspam,"Wah, selamat ya atas kelulusannya!"
spam,"cl@!m""80nus 74npa $yar@7, k1ik tinydd.c0/Q746xH
510t'94mp@n9 m3nang,""1@n95un9""5pin
m@1n's@nt4!,""s@1do'n41k""53ndir!"
spam,"h@ny4 hari in!, m@xwin m3n@nti k4mu
ev3n7 h4d!4h""70741 r47u$an'ju74!
$107 94mp@n9 m3n@n9, lan9sun9""5pin
8uru@n main d1""situ$ 73r8aik 9@<0r9@min9
d@p37!n'j4(kpo7""d3n9an'mod@l r3<3h"
spam,"m41n 5@n74!, sa1do n@1k s3nd!r!
5lo7 9@mp@ng m3nan9, 14n9$ung'$pin
link'51ot g@(0r h4ri !n1: 71nydd.<o/847mQ!
(laim 8onu$""7@np@""sy@ra7, k1ik 7inydd.co/N33@w7"
spam,"m41n @m4n,""men4ng mudah d! 20n@(u@n
pr0mo 9il@!'d3po51t 50'b0nu5""100
$i7u5 an7i run9k4d, 8uk7!in $kr9!"
spam,"m41n'@m4n, m3n@n9'mudah di m@x$107
4u70 maxwin 7!4p""hari, <um4 di m4x5107
mod@1'k3(i1 <u@n b3$4r,""ay0 daf7ar!"
spam,"ma1n""4m@n,""m3n@ng'mud@h di m4x$107
<u@n'harian dari 94m3'pa1!ng $eru
m@in @m4n, m3n4n9 mudah""d! m4n74p8e7
11nk s107 94<or'h4ri in!:""71nydd.c0/hxg11w"
spam,"pr0m0 9i1@! d3po5i7 100'bonus""200
m41n""5@n7a!, saldo naik $3nd1r!
70p up'h@ri 1n! dap@7 (4$h8a<k 25%"
spam,"s107 9@mp@n9 men@n9,'1@ng5un9 5pin
main 5antai, $@1d0 naik'$endir1
1ink $1o7'g@(0r h4ri 1ni: 7!nydd.<0/k2mdcd
dap37in ja(kp07 d3n94n""moda1 r3(3h"
spam,"s17u$'an7i run9k4d,""8uk7i1n $krg!
w38 s107 73rper<@ya, 9@mpang wd
4u7o'maxw1n 7!4p h4ri,'<uma'd1 m@x5l07
cl@im b0nu5 7anp4'5y@r47, k1!k 7inydd.(0/e0xp!5"
spam,"top'up h4r! in1'dap@t c4$h8a<k 100%
main am4n,""m3n@n9'mud@h'di'517u5r@j4
si7u$'4nti""run9k@d, buktiin 5kr9!
14ngsun9 ga$ m4xwin""8ar3n9'k4mi di'9a<orgam1n9"
spam,"w38 $1o7""73rp3r(ay@,'94mp@n9 wd
pr0m0 g114! d3p0$it""100 b0nus 200
3ven7'hadi@h""707@1 r@7us@n'ju74!
73r8ukti'9a(or! 1ink: tinydd.(o/1uW0o7
h@ny4'har1""1ni, maxw1n'm3n@n71 k4mu"
spam,"w38 sl07 73rperc@y@,'g4mp@n9 wd
l1nk sl07 9@<or har1 in!:'tinydd.c0/w9i3U1
s107 9@mp@n9 m3nan9,'l4n9$un9 $pin
4u7o m4xwin 7iap h@ri, <uma d! m4x$107
akse5 g@m3'hoki vi@'9@<0r9@min9"
spam,"we8'$l07 terper(@ya, 94mp4n9 wd
(1@im b0nu5 74np@ $y@r@7, k11k t1nydd.(0/d0f7zj
8uru4n m4in di""$i7u$ 73r8@ik 5!7u5r@j4
70p'up h4r1 ini""dapa7 ca5h84(k 10%"
